metric,value
sample_cycles,594
link_reset,1
link_train,16
link_active,577
link_retrain,0
link_degraded,0
link_transitions,2
link_recoveries,0
credit_zero,0
credit_low,0
credit_mid,0
credit_high,594
backpressure,29
crc_error,0
resend_request,0
lane_fault,0
retry_backpressure_cross,0
latency_low,3
latency_nominal,0
latency_high,0
e2e_updates,24
e2e_mismatch,0
expected_empty,0
power_reset_proxy,9
power_idle_proxy,547
dma_state_idle,318
dma_state_launch,2
dma_state_send,13
dma_state_wait_return,259
dma_state_complete,2
dma_state_error,0
dma_len_2,0
dma_len_4,1
dma_len_8p,1
dma_done_irq_masked,0
dma_done_irq_unmasked,2
dma_error_irq_masked,0
dma_error_irq_unmasked,0
dma_err_odd_len,0
dma_err_range,0
dma_err_busy,0
dma_err_timeout,0
dma_completion_under_retry,0
dma_completion_after_recovery,0
dma_completion_after_sleep_resume,0
covered_bins,17
total_bins,43
